wallet,moca_id,moca_xp,week
0x83d498de2ef7de7076768c0f5a660e9433f45b22,4276,161.6,12
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,3926,184.8,12
0x3a521e9591b6145f747bb1dd7798105f2fade3b9,4241,123.0,12
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,143.0,12
0xc912883f4457be8eae99bb0e228f7846108861b6,1602,120.0,12
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1643,192.8,12
0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5450,120.0,12
0x8b2abf9618cb3899b8459de211eadf53598245ad,1078,188.8,12
0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2610,172.8,12
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3882,132.0,12
0x5a1c6b926209a865718d7be43055ab747fdafd57,1296,176.8,12
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,4366,184.8,12
0xbedfaef8548f017f5fecd42ebb3c147b9e1efa2c,8563,121.0,12
0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,2621,128.8,12
0xec3cee706c117e65772ed2a5d15746466ae6f0ce,1314,136.0,12
0x35ff013b3be419c80cbc7828644fb377d61aea5d,2894,123.0,12
0x5a1c6b926209a865718d7be43055ab747fdafd57,5985,161.6,12
0x73653035f61f5603c6bef39df972b0d299bd224b,6525,149.4,12
0x29d3c95d4d8a42ad598112a1c6f909e010ad37dc,3359,104.0,12
0x13027f849d4bb4193b09ba380f0940f389e770b0,4865,124.8,12
0xbd1dd2bf54b65bbf04793bc853b01532a17cb891,5588,140.8,12
0x379d20d18dd21e72463f257804d586e6fcfdbf65,4779,124.0,12
0x3621f96aea9904da476727550ee205ca4c2f779c,3249,116.8,12
0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6111,149.4,12
0x13027f849d4bb4193b09ba380f0940f389e770b0,900,155.8,12
0x49a456fe253d8a423b3d22a428085d9096f3fe61,6623,160.8,12
0x0eb5e6176daf3cc86f1c891d020890f30775977c,6507,150.4,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1729,175.8,12
0xd1dfd0124330e14a10408982873585d255301d4a,5360,124.0,12
0x9ad490c68cea1573abb4db1af128949ed2325777,1054,131.8,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,4373,152.0,12
0x3abd97abf613c866e92aee891fa1d0e78f1d9d15,1214,112.0,12
0x83d498de2ef7de7076768c0f5a660e9433f45b22,1843,149.2,12
0x49a456fe253d8a423b3d22a428085d9096f3fe61,4825,160.8,12
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,2587,174.8,12
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,6554,162.8,12
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1551,138.8,12
0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5242,120.0,12
0xc8cf76f9d18aec4e18b8401af40a5d9ab8f901d2,6562,120.0,12
0x947a518695f63096650e7bfd421fd9be8b38be3a,2146,156.8,12
0x268e94649f4f2b7609d012494783d908f051fe74,2589,120.0,12
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5858,176.8,12
0xb0075a0fdf597d6d179ab2cb381c63e4550cbc3d,4142,144.0,12
0x77a8703db1aeee04405f8a37fde59f669adfa429,6570,132.8,12
0x4c9d50ccac81b7473c222845531dc37f1c416166,3195,115.8,12
0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5451,120.0,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4358,156.8,12
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6410,172.8,12
0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,4479,102.0,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2198,151.0,12
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,1916,156.8,12
0x34f3133a2207262f2a15ba6b9a0687ced5714188,4592,132.8,12
0x5c58f6dca0b56c53cfb151e803849bb7f2f3725c,2384,132.4,12
0x19c47b6bf29cab375a11b0138dba57e0e484fbdc,4098,149.8,12
0xbe931D053E0156b527cA478744D212C66684F653,2553,104.0,12
0x03351328843940bb13b014d3acf3debf9fa75525,1866,130.0,12
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,2106,158.8,12
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,3403,150.0,12
0xef114fd2e8df2adac9085c70fff1d4e1c4c9b18e,1491,124.0,12
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,6705,144.8,12
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,1665,156.8,12
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3840,156.8,12
0x13027f849d4bb4193b09ba380f0940f389e770b0,903,155.8,12
0x8c0ed0e12819f906b2f63fc28d865c695d1e6a1d,2401,138.8,12
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3212,136.8,12
0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,5259,124.0,12
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2058,125.6,12
0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5400,123.0,12
0x38e4f745d85077976aab2b7d0c3da101024165b8,5193,124.0,12
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,1442,153.6,12
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3530,175.8,12
0x49a456fe253d8a423b3d22a428085d9096f3fe61,1627,172.8,12
0x73653035f61f5603c6bef39df972b0d299bd224b,7343,106.0,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,5529,160.8,12
0x3f582340d27de86f8e565ff638f85215cf57e614,4344,120.0,12
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,3186,176.8,12
0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5399,123.0,12
0x2897220823965b28bcb9d7fb3a215be633e377b4,5118,156.8,12
0x4c7e8ef1265a9556cdab173877edce0931ca6984,1954,136.0,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2471,148.0,12
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1217,145.0,12
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,6531,116.6,12
0x6f698c01fc0cdcd85905c2afd36feb60e0fa97bd,5223,123.0,12
0x9ea94e31853c76c6912b6903027bb8f456e9f8ea,3701,124.0,12
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4835,155.2,12
0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,1561,143.2,12
0x2f923012fc0733e9c12e5547ff170c890b5684bb,3116,150.4,12
0x6f9ebabfc01cf6708773243a5015c8466b8cefb0,3047,124.0,12
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,1945,174.8,12
0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,2436,140.0,12
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,4667,122.4,12
0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,4306,172.8,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,3893,172.8,12
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,3272,122.8,12
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,4444,156.4,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4828,175.8,12
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3839,88.6,12
0x0eb5e6176daf3cc86f1c891d020890f30775977c,2079,117.4,12
0x03fc99a0cb721329a57e6610a1ec825c18f02dab,3848,162.0,12
0xfa04e6aa48cc3888d40a3152ff479c76d2b7c7ec,3369,122.0,12
0x3f3a0fcb36bef2ce4860ef4d4ab2b8958a5e96e3,5239,124.0,12
0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,4309,121.8,12
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,2097,159.8,12
0x03fc99a0cb721329a57e6610a1ec825c18f02dab,3447,136.0,12
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,6400,156.8,12
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,4027,118.4,12
0x7c3f6726981be1c95d77f9b06c9aa71df7dfc99e,3120,122.0,12
0xc4f6651679ecadb40bd0aa257f015ed366029a01,2939,124.0,12
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4770,172.8,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,4654,148.0,12
0xd1a18f6aa5bc2b4928c313f1bdbe9f5799f1a2db,2124,163.0,12
0x92373997819b0e4529be7988eea4bedd4d276f74,1002,172.8,12
0x03fc99a0cb721329a57e6610a1ec825c18f02dab,3847,120.0,12
0x7728f3d2416dc0c6b363362301ada72e98ff1956,5796,128.0,12
0x835c05c64bd95ba68de9cd16ad332a607c7e90bc,2821,112.8,12
0x6f9ebabfc01cf6708773243a5015c8466b8cefb0,3048,124.0,12
0x5a1c6b926209a865718d7be43055ab747fdafd57,1718,172.8,12
0x717d4e42f1a889bdacdbe8f01c3a3ace0b0ff0bd,1776,149.8,12
0x92373997819b0e4529be7988eea4bedd4d276f74,6232,195.8,12
0xae5252b7d6603af2fa284e565a11e3175ef84a9c,3543,142.8,12
0x8c0ed0e12819f906b2f63fc28d865c695d1e6a1d,2909,128.8,12
0x410a20d45edbb4415a5981be8d559676b8100e57,1392,130.0,12
0x96fc7958f554c723b5b7535329bec55a91ebfda3,5367,120.0,12
0x2897220823965b28bcb9d7fb3a215be633e377b4,5276,175.8,12
0x6b1b0419aab8cee190cdb37a50e75545ea0500c7,1147,68.0,12
0xdddaf43d858823450a212a4a3c6d16136652951c,1780,107.0,12
0x5a1c6b926209a865718d7be43055ab747fdafd57,5646,186.8,12
0x249d9a529e1aafc485777a1da5bb3158831ce9a3,4343,120.0,12
0x947a518695f63096650e7bfd421fd9be8b38be3a,4145,172.8,12
0xc130ed78bb8c56ac82aea2216c8f2a49b94ad52f,2919,108.0,12
0xae5252b7d6603af2fa284e565a11e3175ef84a9c,1258,115.8,12
0x5a1c6b926209a865718d7be43055ab747fdafd57,6573,172.8,12
0xc9c31edf659ab3666bda5de72b1d10caec01f07d,1739,159.8,12
0xc337828780cc53b4c76041b3fddbf2f8f2a7cfd0,5467,124.0,12
0x4c7e8ef1265a9556cdab173877edce0931ca6984,1953,123.0,12
0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,4927,120.0,12
0x8b2abf9618cb3899b8459de211eadf53598245ad,4529,158.8,12
0x947a518695f63096650e7bfd421fd9be8b38be3a,4146,172.8,12
0x6eae0202053c5aef1b57911fec208f08d96050de,2839,160.0,12
0x55be9cb776a3d4722b9da3b833c247a82ce6d151,5916,128.8,12
0x73653035f61f5603c6bef39df972b0d299bd224b,1171,148.4,12
0x824fcf408c145f28d5fab58e74c5e326d09aaad7,3623,104.0,12
0x5932a976921b9383e753b24582c37d439b46ff38,2230,123.0,12
0x49a456fe253d8a423b3d22a428085d9096f3fe61,3692,175.8,12
0x7728f3d2416dc0c6b363362301ada72e98ff1956,6414,173.4,12
0xda1e9c631ace798036d2650f0283e63bc546f213,6108,154.4,12
0x8b2abf9618cb3899b8459de211eadf53598245ad,3549,156.8,12
0xacc2c6937a1f73d8a55ac2c3973b7338b3e18b6f,2308,134.0,12
0xe224a464e5b021636474a89c5b4bcb46dbd1da25,2236,104.0,12
0xf9a0a378642a93e355473716ceb5b4151df8a09b,5191,123.0,12
0x39f4da389fef57165bd470eb422c755e271f785b,2070,123.0,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,1514,148.0,12
0x0efcd0773330a483e2f456d25d69311dde65e3a7,3640,124.0,12
0xdaf8313d766a62b5271a446b7e03d45ffb000490,2838,172.8,12
0x66Ed04ce68D5Bc69D164E907c2580d12151486Fd,6512,130.0,12
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2797,136.0,12
