moca_id,moca_xp,wallet,week
4064,48.0,0x0007550d32a90c2e498b7261139e15ec873e8502,6
5444,64.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,6
5445,64.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,6
1866,64.0,0x03351328843940bb13b014d3acf3debf9fa75525,6
4927,64.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,6
4928,64.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,6
5207,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5614,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5615,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5858,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5942,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5968,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
6415,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
6416,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1643,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1839,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1896,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
2481,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3049,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3529,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3530,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3664,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3942,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5837,64.0,0x06a30395353d7d3742e49bf69fd25fdf69a131c8,6
1637,64.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,6
1638,64.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,6
5407,64.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,6
5408,64.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,6
2527,64.0,0x090f66847a4dfa167046627150ac9b855dce4119,6
2528,64.0,0x090f66847a4dfa167046627150ac9b855dce4119,6
954,64.0,0x09513093c418a840136e9c09e9307f0c21cade9f,6
6564,64.0,0xac04bd6f87ac7792b2746c6b7a897b38dc54caeb,6
2071,64.0,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,6
2072,64.0,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,6
1394,64.0,0x15fd28fd3a646702455d6ec6c5af7075550c095d,6
5178,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
6292,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
2368,70.4,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
2472,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
4112,65.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
4158,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
4172,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
4537,81.6,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,6
5258,64.0,0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,6
5259,64.0,0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,6
2669,56.0,0x46fb16917b38f86ab128cc946b45b250261848ff,6
4516,64.0,0x0e7110d45e847629116cda4ba184560a7d40f14a,6
4517,64.0,0x0e7110d45e847629116cda4ba184560a7d40f14a,6
5805,64.0,0x0e9890b4bfdce2088be85934661b19efe367d3c2,6
4702,64.0,0x8340fefd527494022d13e76150dee990d657e35b,6
6225,24.0,0x1045a365e491cae755241eef520b2498dda336e1,6
1357,48.0,0x1045a365e491cae755241eef520b2498dda336e1,6
2626,64.0,0xf869cfdbc526344e239e88a120866b1bff20b1ec,6
6086,8.0,0x11065895c4c25ed56d6303bc8848c068411c8cff,6
4712,44.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
1561,60.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
2068,60.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
3325,60.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
4007,76.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
4008,76.8,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,6
1611,64.0,0x11705c7baf986594913ac568ac18fb0f039ef2d6,6
1612,48.0,0x11705c7baf986594913ac568ac18fb0f039ef2d6,6
1522,64.0,0x11c61bcd43d61b62719c7971b227fbb8cf6f3b71,6
