moca_id,tribe,moca_xp,wallet,week
5444,angel,56.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,5
5445,angel,56.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,5
2090,angel,56.0,0x51c04a201b21458bc93b533c245f28bf31799050,5
3529,angel,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
3530,angel,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
5207,angel,57.6,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
6437,angel,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
3498,angel,56.0,0x0a6379391292909d68f2c3a0b9a1edaddab95245,5
2218,angel,40.0,0x0ab71c08687ad6248b76d3f7e799fc6f339f6625,5
4230,angel,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
5153,angel,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
5154,angel,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
2472,angel,68.8,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,5
6292,angel,68.8,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,5
5623,angel,70.4,0x0c96a4c2cec463e7fe45f7b10bf543c16778829f,5
5532,angel,58.4,0x0e855e3f407d65a21fee7107b7e8b4717476991d,5
5805,angel,56.0,0x0e9890b4bfdce2088be85934661b19efe367d3c2,5
3325,angel,49.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
1522,angel,56.0,0x11c61bcd43d61b62719c7971b227fbb8cf6f3b71,5
4977,angel,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
5138,angel,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
4255,angel,58.4,0x14a552135fac9587635ecd15bc65cdb9ca3d459a,5
4256,angel,58.4,0x14a552135fac9587635ecd15bc65cdb9ca3d459a,5
1362,angel,56.0,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,5
1967,angel,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
5176,angel,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
6283,angel,58.4,0x1891c5f6e7a566b2d8017573a807c14678a005af,5
6284,angel,58.4,0x1891c5f6e7a566b2d8017573a807c14678a005af,5
6300,angel,58.4,0x1891c5f6e7a566b2d8017573a807c14678a005af,5
6301,angel,58.4,0x1891c5f6e7a566b2d8017573a807c14678a005af,5
5535,angel,58.4,0x1a693f31b7a3ae8269a4cacc35f208a06a96df42,5
2506,angel,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
2507,angel,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
5455,angel,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
5456,angel,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
4950,angel,56.0,0x1c39ebf9ec583a4b141bee3cacb07e46ec5eb2f2,5
2288,angel,56.0,0x1cd50df53ea17c2b98a18fd65de2df173339296e,5
2992,angel,42.4,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,5
3290,angel,56.0,0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,5
3291,angel,56.0,0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,5
1991,angel,58.4,0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,5
6001,angel,42.4,0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5
1949,angel,70.4,0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5
3123,angel,56.0,0xde81e26b46d65b8f64aeedb973c981abf893aff7,5
1314,angel,56.0,0xec3cee706c117e65772ed2a5d15746466ae6f0ce,5
6032,angel,42.4,0x3082c1e9bc764b7fab74415e70e595faceddd16f,5
5510,angel,58.4,0x311fdb1d597c0699a9f6b6b35235b5938fd07928,5
5840,angel,40.0,0x34b695974be06dc569188b737f723d936af0a931,5
2509,angel,33.6,0x0c41684841245296da6c5dfca8e9cd0bd47181d1,5
1626,angel,40.0,0x392b0b4b2fb56f12512dfc8ad9f5c9643dfeab45,5
3263,angel,56.0,0x3a2e70c82b6fd09bd07f33f323bf29f596c6c558,5
3264,angel,56.0,0x3a2e70c82b6fd09bd07f33f323bf29f596c6c558,5
4241,angel,56.0,0x3a521e9591b6145f747bb1dd7798105f2fade3b9,5
4242,angel,56.0,0x3a521e9591b6145f747bb1dd7798105f2fade3b9,5
5531,angel,58.4,0x3b0667ab576a6aceb3add15c98db84f51c20e370,5
2256,angel,56.0,0x3e06bd0bce5301af7a186d7f33478ad227df984a,5
2257,angel,56.0,0x3e06bd0bce5301af7a186d7f33478ad227df984a,5
4719,angel,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
5314,angel,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
4323,angel,56.0,0x453b9325d50b48862acc7b46fdd53a3074bebe1f,5
4324,angel,56.0,0x453b9325d50b48862acc7b46fdd53a3074bebe1f,5
2855,angel,70.4,0x45c9235209a06bf8c8596c00b2934cf5aade091e,5
3368,angel,54.4,0x45c9235209a06bf8c8596c00b2934cf5aade091e,5
3692,angel,70.4,0x49a456fe253d8a423b3d22a428085d9096f3fe61,5
3853,angel,54.4,0x49a456fe253d8a423b3d22a428085d9096f3fe61,5
6558,angel,70.4,0x49a456fe253d8a423b3d22a428085d9096f3fe61,5
5103,angel,70.4,0x4a26043618bd139f6c5cd1749539787dbfd4a64f,5
1571,angel,40.0,0x4a791828f3b69c760b111cfcbcc20b1f93f4f3b5,5
1110,angel,56.0,0x60f0dd98ed1ad2a3a0365ed5fbcd231cde735027,5
2447,angel,56.0,0x4be2ee779fbfdee5409ff3e28ab50d0d55101558,5
2503,angel,70.4,0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,5
