moca_id,tribe,moca_xp,wallet,week
4064,dreamer,40.0,0x0007550d32a90c2e498b7261139e15ec873e8502,5
6411,dreamer,56.0,0xb10bdc3cc4f6ced36c08c419df11ff4b084da2de,5
1637,dreamer,56.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,5
1638,dreamer,56.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,5
5407,dreamer,56.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,5
5408,dreamer,56.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,5
2071,dreamer,56.0,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,5
2072,dreamer,56.0,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,5
5151,dreamer,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
5258,dreamer,56.0,0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,5
5259,dreamer,56.0,0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,5
4516,dreamer,56.0,0x0e7110d45e847629116cda4ba184560a7d40f14a,5
4517,dreamer,56.0,0x0e7110d45e847629116cda4ba184560a7d40f14a,5
2806,dreamer,58.4,0x0e855e3f407d65a21fee7107b7e8b4717476991d,5
1561,dreamer,49.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
1611,dreamer,56.0,0x11705c7baf986594913ac568ac18fb0f039ef2d6,5
1612,dreamer,40.0,0x11705c7baf986594913ac568ac18fb0f039ef2d6,5
2543,dreamer,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
5405,dreamer,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
2058,dreamer,42.4,0x12d47a4931a8e6f6e242b023b23f993570885605,5
5271,dreamer,56.0,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,5
5272,dreamer,56.0,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,5
7551,dreamer,40.0,0x13a0915b2a2eb5ea9747e40725e2690381ef53da,5
5417,dreamer,56.0,0x144174394c9ce81493788d3096a04c255c65b683,5
5418,dreamer,56.0,0x144174394c9ce81493788d3096a04c255c65b683,5
4474,dreamer,58.4,0x14a552135fac9587635ecd15bc65cdb9ca3d459a,5
4475,dreamer,58.4,0x14a552135fac9587635ecd15bc65cdb9ca3d459a,5
4886,dreamer,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
4063,dreamer,24.0,0x167f0f1e21d6c2f2d3f647c026e935ac2077aad2,5
1185,dreamer,58.4,0x1a693f31b7a3ae8269a4cacc35f208a06a96df42,5
6227,dreamer,58.4,0x1a693f31b7a3ae8269a4cacc35f208a06a96df42,5
4355,dreamer,56.0,0x1b6aa1020730c9c7b158e05d74f390a16140cc27,5
4356,dreamer,56.0,0x1b6aa1020730c9c7b158e05d74f390a16140cc27,5
2238,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
2239,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
2316,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
2317,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
5553,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
5554,dreamer,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
4694,dreamer,63.2,0xa1112524c8aadd762cd4d2a7b3119af3720813e3,5
2754,dreamer,42.4,0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,5
4885,dreamer,56.0,0x2604e996cef68aa7c1842c3183be8e5f690775af,5
2458,dreamer,43.2,0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,5
5578,dreamer,56.0,0xde81e26b46d65b8f64aeedb973c981abf893aff7,5
7029,dreamer,40.0,0xeab213b4989e3d2645d807440016863259baa74a,5
1659,dreamer,58.4,0x3082c1e9bc764b7fab74415e70e595faceddd16f,5
1660,dreamer,58.4,0x3082c1e9bc764b7fab74415e70e595faceddd16f,5
1563,dreamer,58.4,0x311fdb1d597c0699a9f6b6b35235b5938fd07928,5
2811,dreamer,42.4,0x311fdb1d597c0699a9f6b6b35235b5938fd07928,5
3604,dreamer,58.4,0x311fdb1d597c0699a9f6b6b35235b5938fd07928,5
5957,dreamer,26.4,0x311fdb1d597c0699a9f6b6b35235b5938fd07928,5
1696,dreamer,56.0,0x33dbfb764377593b93bdd860dbc72f7c01f50331,5
1697,dreamer,56.0,0x33dbfb764377593b93bdd860dbc72f7c01f50331,5
2211,dreamer,56.0,0x357cc8a6b19719d797ad77c239e6a0627007a478,5
2625,dreamer,42.4,0x0c41684841245296da6c5dfca8e9cd0bd47181d1,5
3249,dreamer,42.4,0x3621f96aea9904da476727550ee205ca4c2f779c,5
3250,dreamer,58.4,0x3621f96aea9904da476727550ee205ca4c2f779c,5
4779,dreamer,56.0,0x379d20d18dd21e72463f257804d586e6fcfdbf65,5
4780,dreamer,56.0,0x379d20d18dd21e72463f257804d586e6fcfdbf65,5
2949,dreamer,40.0,0x3b39c593c067c51d6c9f890731dfaebc9b77a910,5
6260,dreamer,56.0,0x3f0d25530dca5db3ed28f92297259d8519a87902,5
5239,dreamer,56.0,0x3f3a0fcb36bef2ce4860ef4d4ab2b8958a5e96e3,5
5240,dreamer,56.0,0x3f3a0fcb36bef2ce4860ef4d4ab2b8958a5e96e3,5
3594,dreamer,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
4013,dreamer,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
6394,dreamer,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
5340,dreamer,56.0,0x423902bfc4699e6c78b971c1aed54b39dfc675ac,5
5341,dreamer,56.0,0x423902bfc4699e6c78b971c1aed54b39dfc675ac,5
3056,dreamer,56.0,0x43853aede65371186eac37a91e9e163724aeddcc,5
5493,dreamer,56.0,0x442221f1391f19f8d6f80af0af1c89a84c95174b,5
5494,dreamer,56.0,0x442221f1391f19f8d6f80af0af1c89a84c95174b,5
1639,dreamer,70.4,0x45c9235209a06bf8c8596c00b2934cf5aade091e,5
1326,dreamer,40.0,0x46fb67e7d809fde1411033621ed01cbe494d4ba0,5
3240,dreamer,40.0,0x480fba83dbf31a3b8c7956ea4f7037497fa67bd3,5
3014,dreamer,58.4,0x4839460f05b2a8fc1b615e0523ebc46efba75420,5
3220,dreamer,58.4,0x4839460f05b2a8fc1b615e0523ebc46efba75420,5
4547,dreamer,56.0,0x4c1ad1644bd23876031573fa3bae26cd35e4ee41,5
4548,dreamer,56.0,0x4c1ad1644bd23876031573fa3bae26cd35e4ee41,5
6351,dreamer,56.0,0x4c339ba83562a1ab6e7ce1b9d2668197e2e35153,5
2152,dreamer,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
3996,dreamer,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
5506,dreamer,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
3013,dreamer,24.0,0x4f57b97c74d7d53f1456a274fcbeaa69549fd77c,5
5505,dreamer,70.4,0x50c03dd5c0e51aa17f5860b17eb56a7f93f17f86,5
1300,dreamer,56.0,0x5307da2782c2641180abd2b92b647c4245ea65c7,5
3638,dreamer,58.4,0x31546c09ce57628f98d5a4b78b164207595baf6c,5
3358,dreamer,42.4,0x55be9cb776a3d4722b9da3b833c247a82ce6d151,5
3001,dreamer,56.0,0x56b3591aafd665aadc8f956c5964923782ea1698,5
3002,dreamer,56.0,0x56b3591aafd665aadc8f956c5964923782ea1698,5
3345,dreamer,56.0,0x590ec13e9af827f98ecabb553bff8403272d5a42,5
3346,dreamer,56.0,0x590ec13e9af827f98ecabb553bff8403272d5a42,5
1296,dreamer,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
5645,dreamer,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
5646,dreamer,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
5956,dreamer,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
6152,dreamer,56.0,0x5ba8b0c24ba5307b67e619ad500a635204f73bf1,5
4863,dreamer,56.0,0x5c5c093f9116a2380f19f7af591a190362229cce,5
4864,dreamer,56.0,0x5c5c093f9116a2380f19f7af591a190362229cce,5
3146,dreamer,63.2,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
3147,dreamer,63.2,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
6245,dreamer,56.0,0x5e7fba8becafabbcbbad02674d41f9cd6a0d01d5,5
