moca_id,tribe,moca_xp,wallet,week
1364,neo-capitalist,56.0,0x017c4dc18a2d67e82a49c4359016e50fd8e63233,5
2844,neo-capitalist,56.0,0xb10bdc3cc4f6ced36c08c419df11ff4b084da2de,5
1964,neo-capitalist,40.0,0x0ab4b2f1a5cf3d72206cc1415b8e88ef9c698423,5
4942,neo-capitalist,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
3299,neo-capitalist,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
4007,neo-capitalist,65.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
4008,neo-capitalist,65.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
3993,neo-capitalist,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
5483,neo-capitalist,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
3138,neo-capitalist,56.0,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,5
4906,neo-capitalist,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
5564,neo-capitalist,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
5751,neo-capitalist,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
1644,neo-capitalist,70.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
6055,neo-capitalist,40.0,0x1c65b333dfb1acc18c96fc5469040b222dbe548a,5
2237,neo-capitalist,58.4,0xb44444e88ec7de694402821b77db69c31baf0bb3,5
2524,neo-capitalist,42.4,0xb44444e88ec7de694402821b77db69c31baf0bb3,5
3847,neo-capitalist,26.4,0xb44444e88ec7de694402821b77db69c31baf0bb3,5
3848,neo-capitalist,58.4,0xb44444e88ec7de694402821b77db69c31baf0bb3,5
6541,neo-capitalist,58.4,0xb44444e88ec7de694402821b77db69c31baf0bb3,5
6127,neo-capitalist,40.0,0x202c05cf01d9db2b44b50ba7827a001755305591,5
2215,neo-capitalist,56.0,0x2294476a8b4d6c5b7f87c3a1e6c823f6117c45c2,5
2741,neo-capitalist,24.0,0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,5
7132,neo-capitalist,58.4,0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,5
2589,neo-capitalist,56.0,0x268e94649f4f2b7609d012494783d908f051fe74,5
2590,neo-capitalist,56.0,0x268e94649f4f2b7609d012494783d908f051fe74,5
2313,neo-capitalist,40.0,0x27848723f883dad93074f662f017f02a3a2931a3,5
2892,neo-capitalist,56.0,0x28a4a0a46209270434fc1c66cb7ea286abf03386,5
1187,neo-capitalist,42.4,0x28bf7de4c3b52975d36a55c1f7ccb6af131efa83,5
2327,neo-capitalist,42.4,0x28bf7de4c3b52975d36a55c1f7ccb6af131efa83,5
4400,neo-capitalist,42.4,0x28bf7de4c3b52975d36a55c1f7ccb6af131efa83,5
5970,neo-capitalist,42.4,0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5
1764,neo-capitalist,48.0,0x2f8a004b595c4522f3b66e158facd194663f005f,5
5635,neo-capitalist,58.4,0x0c41684841245296da6c5dfca8e9cd0bd47181d1,5
3131,neo-capitalist,42.4,0x37e189b454e70611042ac5c51179fe7d795d5238,5
3579,neo-capitalist,58.4,0x37e189b454e70611042ac5c51179fe7d795d5238,5
3580,neo-capitalist,58.4,0x37e189b454e70611042ac5c51179fe7d795d5238,5
