,wallet,moca_id,moca_xp,week
1,0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6699,130.0,13
6,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1084,174.8,13
9,0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,143.0,13
15,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2610,172.8,13
19,0x0e6dae2b274757ae0f302e66b9d64deae81a8695,1550,112.0,13
21,0xbedfaef8548f017f5fecd42ebb3c147b9e1efa2c,8563,121.0,13
22,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,2621,128.8,13
23,0xec3cee706c117e65772ed2a5d15746466ae6f0ce,1314,136.0,13
25,0x35ff013b3be419c80cbc7828644fb377d61aea5d,2894,123.0,13
27,0x0e7110d45e847629116cda4ba184560a7d40f14a,4516,124.0,13
28,0x45271308260c3f2c736ca1627a99fb054e5c0388,3277,120.0,13
31,0xb0e8af8ddc8480789b37f90689c5bbba2139804c,1443,98.0,13
33,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6111,149.4,13
36,0x69486873ea8e52151a464f4a5a92c8609171a954,1857,124.0,13
42,0x8a44382e374a95474e61d006c4c8c819cfcd4ccf,4222,120.0,13
43,0xd1dfd0124330e14a10408982873585d255301d4a,5360,124.0,13
44,0xf3b1c99ff41836dbd20eaa1a5d502213a49ec997,4637,123.0,13
47,0xf3b1c99ff41836dbd20eaa1a5d502213a49ec997,4636,123.0,13
49,0x3abd97abf613c866e92aee891fa1d0e78f1d9d15,1214,112.0,13
54,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,6554,162.8,13
56,0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5242,120.0,13
59,0xc8cf76f9d18aec4e18b8401af40a5d9ab8f901d2,6562,120.0,13
61,0x268e94649f4f2b7609d012494783d908f051fe74,2589,120.0,13
65,0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6028,130.0,13
68,0x4c9d50ccac81b7473c222845531dc37f1c416166,3195,115.8,13
69,0x401cd38700507d5486bfe62aad07bb235c84948b,3725,131.8,13
77,0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,4479,102.0,13
78,0x821144a981e2de0d6b5fda88b48b25ee05ee3e1e,5730,104.8,13
86,0x7117e963e69edd070e1f2e2f4ffeca9d84c6b6ad,2091,96.0,13
88,0x36cdffb3165f39714455118262f5ff3ed1d4c7e1,4666,124.0,13
90,0xbe931D053E0156b527cA478744D212C66684F653,2553,104.0,13
92,0x03351328843940bb13b014d3acf3debf9fa75525,1866,130.0,13
95,0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,1959,119.2,13
97,0x1cd5c81f65c568a8e73473784c34964e2412b421,3597,128.8,13
105,0x574c6ed03833e957dbd13257e27d29a00bb08c61,3212,136.8,13
106,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2076,172.8,13
109,0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5400,123.0,13
112,0xea9aaa635142aae3c710986f7be0a18ba02efb41,1010,150.4,13
117,0x3e06bd0bce5301af7a186d7f33478ad227df984a,2257,123.0,13
119,0x06fe6d22ee588ba88c2349fa7d9ad3149c0c57a3,3516,106.0,13
125,0xf3a65b41b032e63bedebe8c34bbbad0949a61e72,3524,123.0,13
130,0x3f582340d27de86f8e565ff638f85215cf57e614,4344,120.0,13
133,0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5399,123.0,13
135,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1144,174.8,13
136,0x4c7e8ef1265a9556cdab173877edce0931ca6984,1954,136.0,13
139,0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,2098,80.6,13
140,0xbc5e44596816cbe3d45318a3a124f8328c417cde,1217,145.0,13
142,0x6f698c01fc0cdcd85905c2afd36feb60e0fa97bd,5223,123.0,13
143,0x9ea94e31853c76c6912b6903027bb8f456e9f8ea,3701,124.0,13
147,0x2f923012fc0733e9c12e5547ff170c890b5684bb,3116,150.4,13
148,0x6f9ebabfc01cf6708773243a5015c8466b8cefb0,3047,124.0,13
151,0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,2436,140.0,13
157,0xc74c9d67fa6020debd5963669b87327ab7f14a1e,2157,143.0,13
158,0x13b7f9af9dce8aa7cd978d766ab9758474221e8a,1714,124.0,13
166,0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,4309,121.8,13
175,0xb198e474ac47a5ab7be2c8889a59503981824126,4732,124.0,13
178,0xc4f6651679ecadb40bd0aa257f015ed366029a01,2939,124.0,13
182,0x92373997819b0e4529be7988eea4bedd4d276f74,1002,172.8,13
187,0x6f9ebabfc01cf6708773243a5015c8466b8cefb0,3048,124.0,13
191,0x92373997819b0e4529be7988eea4bedd4d276f74,6232,195.8,13
