wallet,moca_id,moca_xp,tribe,week
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3020,100.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3599,100.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4442,117.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,6754,51.2,builder,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5614,108.8,builder,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5615,108.8,builder,8
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3212,90.8,builder,8
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3213,80.8,builder,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,2466,85.8,builder,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,1888,84.8,builder,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6374,108.8,builder,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6375,108.8,builder,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6391,108.8,builder,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6392,108.8,builder,8
0x27c5deca8324cc6e9332db95defa1a951f29452a,3370,90.0,builder,8
0xfa04e6aa48cc3888d40a3152ff479c76d2b7c7ec,3369,80.0,builder,8
0x1cbf3b005a908891ff209386381a1e3d97e2978d,2701,97.0,builder,8
0x7c3f6726981be1c95d77f9b06c9aa71df7dfc99e,3120,80.0,builder,8
0x7c3f6726981be1c95d77f9b06c9aa71df7dfc99e,3121,90.0,builder,8
0xe488fbac4a5c9b35325343a1c56723450e427d69,6512,80.0,builder,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,1171,94.4,builder,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,7343,52.0,builder,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3489,89.6,builder,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5733,87.2,builder,8
0x64220b85356c2e31aa5b2dd79322dbab63d05f22,2721,90.0,builder,8
0x64220b85356c2e31aa5b2dd79322dbab63d05f22,2722,80.0,builder,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,4444,90.4,builder,8
0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,3925,92.8,builder,8
0xddeA96Ea9f57e9C22a7A88022d8989921483e1Fd,2668,68.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1650,76.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1779,108.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,2682,108.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3093,76.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3435,95.2,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4139,54.4,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6504,76.8,builder,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7545,108.8,builder,8
