wallet,moca_id,moca_xp,tribe,week
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,1467,75.2,angel,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3020,100.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3375,83.2,connector,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3599,100.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4089,80.0,dreamer,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4442,117.8,builder,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4835,91.2,neo-capitalist,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,6649,91.2,dreamer,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,6754,51.2,builder,8
0x2eb53539f6f157283a731821a2c3eaa38a5241ff,2049,80.0,dreamer,8
0x2eb53539f6f157283a731821a2c3eaa38a5241ff,2050,80.0,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1643,125.8,neo-capitalist,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1839,96.0,connector,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1896,96.0,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,2481,108.8,connector,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,2599,96.0,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3049,96.0,neo-capitalist,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3185,96.0,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3260,96.0,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3529,108.8,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3530,108.8,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3664,108.8,connector,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3942,96.0,connector,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,4483,96.0,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5207,96.0,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5614,108.8,builder,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5615,108.8,builder,8
