wallet,moca_id,moca_xp
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,1018,16
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,2514,16
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,3209,16
0x5665785813011a5c37c10972f8d3d463441637c3,4305,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1643,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1644,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,2481,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5614,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5615,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5635,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5942,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5968,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6415,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6416,16
0x7fd99bb90bbeba9fd1f02d2fb1524cab0179c43b,3381,16
0x7fd99bb90bbeba9fd1f02d2fb1524cab0179c43b,3382,16
0x1afa084f853e64e54f26171332e99c1c08e9cb53,1575,16
0xc0385c781b2f35ae0ba54c2948f4c23afa3bb954,3718,16
0xc0385c781b2f35ae0ba54c2948f4c23afa3bb954,6354,16
0x135dbda444ffcd5cc4506fcb0dcbb48da5f1f988,3776,16
0x783c957f27944d6ba15965b2bbd32675977c231e,7340,16
0xbe2fd46639eae548552aa79b1245d65718cb89d9,4171,16
0x32cb344d193c46da6e2cabaced879b1db3768499,2132,16
0x32cb344d193c46da6e2cabaced879b1db3768499,2133,16
0x1cbf3b005a908891ff209386381a1e3d97e2978d,2701,16
0x964aa7806f61f3537f14e2b77f0338198f624aa6,2757,16
0x964aa7806f61f3537f14e2b77f0338198f624aa6,6210,16
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,1781,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2717,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2718,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2719,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2720,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,16
0xe476c3a18fb117ecb16c986dcb09630bb3abe854,5958,16
0x0bd31f087f85de4a84a985c61501b69654595f5c,1394,16
0x822e575c2319ce476bf97f21992ddf830bed377b,4204,16
0x8f89f0c8a7e2858d5f40dfb8b82de16c83d51d19,2162,16
0x8f89f0c8a7e2858d5f40dfb8b82de16c83d51d19,2163,16
0x0dd189d8a05d4c7308aa5e08dba80ed57b9a5fbd,4608,16
0x27848723f883dad93074f662f017f02a3a2931a3,2313,16
0x3046c78e3b9074bb9c6033dee148ed39cd4815f5,4163,16
0x288cdebb256f95f27d0a6ad39fa5e9c2a0b06ba9,3759,16
0x61c1c756b211fd9f5b18c66dbfa5ee99076c6085,6287,16
0x61c1c756b211fd9f5b18c66dbfa5ee99076c6085,7555,16
0x87513320f99621170ebbdc04f4c1f64d4261c653,2591,16
0x87513320f99621170ebbdc04f4c1f64d4261c653,2592,16
0xfa6b6986dac281789e6a990eaecd4c5e78b916be,996,16
0x6b1b0419aab8cee190cdb37a50e75545ea0500c7,2052,16
0xe7713a712648e080fb55b118d11908eea01d8860,2416,16
0xb7162dd79c1f0802d1b4826ac06dad4359bc3aa2,1273,16
0x3b30db86d017090d7c295ee0f7ce0bd70f877777,6709,16
0x3082c1e9bc764b7fab74415e70e595faceddd16f,1659,16
0x3082c1e9bc764b7fab74415e70e595faceddd16f,6032,16
0x06a30395353d7d3742e49bf69fd25fdf69a131c8,5837,16
0x8118547d2f70f36e86c92aeba3c3fac4518d313c,5597,16
0x1579d939f6870a6fdc442aa7abd2dc2bee74a77c,5194,16
0xaf2e919b59734b8d99f6bc1f62dc63d6519d14bc,2979,16
0x0babfcc1462e320a109577e5376a496beeaac5ab,1467,16
0x02d15a4f1896c88855edbafa709fc47178482591,1268,16
0xd92a6c5232119aa98ce1879fb2e57f2a95558474,1382,16
0xd92a6c5232119aa98ce1879fb2e57f2a95558474,1383,16
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,16
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,16
0xcb54a94e499f0469ad46eaa3019894f45bb816c4,1520,16
0xcb54a94e499f0469ad46eaa3019894f45bb816c4,2018,16
0x5641847fc7f97bf6ecf14e6635370994ea75e530,5670,16
0x926398f153d60ca04e198eddeddce3aa234e8029,3228,16
0x926398f153d60ca04e198eddeddce3aa234e8029,3229,16
0xad11b0e1ef67d1d0950eaa159ca821bdb42b6d10,3150,16
0xc09a6b7a56609dbde7b4cced1ae9621344cb7004,2387,16
0xc09a6b7a56609dbde7b4cced1ae9621344cb7004,2388,16
0x828702fc0c977f0b347c998c107df77618f85e87,1375,16
0x828702fc0c977f0b347c998c107df77618f85e87,1549,16
0x828702fc0c977f0b347c998c107df77618f85e87,2145,16
