wallet,moca_id,tier
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,2717,dreamer
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,2718,dreamer
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,2719,dreamer
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,2720,dreamer
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,5286,angel
0x48c6ceabadc0bce0477b32272f74831bc1854f3d,5287,angel
0x0e400b23cbb2e24ce5d6981ff0ac3f07a22978ca,1493,neo-capitalist
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,angel
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2394,angel
0x392b0b4b2fb56f12512dfc8ad9f5c9643dfeab45,1626,angel
0x8b7bf875e82a259b704c33fd87eceb7f4850f616,3434,angel
0x82636b0d51ed02132d445d3c32a57280a0625053,6059,angel
0x82636b0d51ed02132d445d3c32a57280a0625053,6060,angel
0x7e222f65ab279507b4124ba450f13f9758212d42,2035,angel
0x7e222f65ab279507b4124ba450f13f9758212d42,3401,neo-capitalist
0x7e222f65ab279507b4124ba450f13f9758212d42,5801,neo-capitalist
0x4daf440bb1ec17628dad45ed45b726759a99271a,1664,angel
0x5f447199987971edb01e358cf67f390df9e75237,2166,angel
0x5f447199987971edb01e358cf67f390df9e75237,2167,angel
0x5f447199987971edb01e358cf67f390df9e75237,6578,builder
0x42f79fb2d6f0ac25fab596408c1b3f8a6d596d8a,4946,angel
0xb0481e4d9513924d3eef075781794ea81b14e0f7,2431,angel
0xb0481e4d9513924d3eef075781794ea81b14e0f7,2432,angel
0x1afa084f853e64e54f26171332e99c1c08e9cb53,1575,angel
0x319ea9a4fd2a189002765316cdef8360c1f98ea2,1992,angel
0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,2098,angel
0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,2324,connector
0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,5189,connector
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,994,connector
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,1991,angel
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,2754,dreamer
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,7132,neo-capitalist
0x3cac7e12dc3bae6ebe2909c82addb04da4cc340b,1663,angel
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,1442,connector
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3146,dreamer
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3147,dreamer
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3247,neo-capitalist
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3489,builder
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3678,angel
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5157,dreamer
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5733,builder
0x3018c8ad9b0b5e217e31ee70752b6c6032251cc2,1314,angel
0x23140406d483989f9789ae301c879b6121e52e1f,5940,angel
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,3271,builder
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,3272,builder
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,3471,dreamer
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,3809,connector
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5295,builder
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5890,neo-capitalist
0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,6614,angel
