wallet,moca_id,moca_xp
0x164d07b530fe1a1fb6cb7b055331405c62aae5f3,2847,16
0xc5ab28e4d8f52b1c8b74bde6f18737e79dd9f6ce,3989,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1643,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1644,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,2481,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5614,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5615,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5635,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5942,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5968,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6415,16
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6416,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,1097,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,1098,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,1476,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,1639,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,2759,16
0x45c9235209a06bf8c8596c00b2934cf5aade091e,2855,16
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,1018,16
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,2514,16
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,3209,16
0x5181ae48545635d29113e13ebac0e7b8779c53ec,3399,16
0x5307da2782c2641180abd2b92b647c4245ea65c7,1300,16
0x852344da4d2c1a387444775a4e65b7b49815048a,6750,16
0x5b0ce600919303b9b733e23020c834909f290fd3,3804,16
0x35ea7ab835c69893f2344121a3af0d982c2ef9c4,3663,16
0x35ea7ab835c69893f2344121a3af0d982c2ef9c4,3664,16
0x9fed225115a1374c7f0faef307d471c80fff1893,5495,16
0x9fed225115a1374c7f0faef307d471c80fff1893,5496,16
0xc28504f2fa279d34fdbe65b26eaada5eb6a220bc,3716,16
0xae62952bc055c25380baea2f31a10c4d260851aa,1480,16
0xae62952bc055c25380baea2f31a10c4d260851aa,1481,16
0x32cb344d193c46da6e2cabaced879b1db3768499,2132,16
0x32cb344d193c46da6e2cabaced879b1db3768499,2133,16
0x06a30395353d7d3742e49bf69fd25fdf69a131c8,5837,16
0xd0a2f14423ede2df5fe66b61419858c8e3bab3a1,5955,16
0x02d15a4f1896c88855edbafa709fc47178482591,1268,16
0x8f38f98e14b0ca08bf91acdc0a9cd18404c28070,6427,16
0x8f38f98e14b0ca08bf91acdc0a9cd18404c28070,6428,16
0xe23897619e6669836d2fbd1595f0119b93fded5d,2098,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,1902,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,2080,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,2480,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,2683,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,2969,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,3154,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,3155,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,3286,16
0x760713d02bc8810c80e07302b8e62a660d5a04a8,3287,16
